110							
189							
94							
118							
145				 		0-19	29
146						20-39	323
172						40-59	1055
241						60-79	1888
85						80-99	2150
80						100-119	1888
74						120-139	1309
116						140-159	714
89						160-179	404
78						180-199	151
120						200-219	60
97						220-239	17
47						240-259	9
155						260-279	1
180						280-299	0
113						300-319	0
72						320-339	1
99						340-359	0
112						360-379	1
89						380-399	0
101							
110							
108							
106							
84							
95							
85							
149							
76							
134							
107							
39							
97							
123							
66							
105							
158							
180							
67							
130							
173							
118							
85							
107							
173							
63							
116							
69							
83							
108							
91							
44							
109							
76							
73							
61							
57							
76							
54							
101							
102							
140							
91							
161							
115							
119							
80							
77							
122							
68							
48							
71							
80							
111							
121							
104							
105							
68							
67							
161							
60							
61							
77							
45							
113							
139							
35							
90							
108							
89							
56							
120							
102							
65							
121							
125							
129							
136							
58							
124							
88							
106							
51							
153							
140							
66							
13							
116							
64							
69							
75							
79							
93							
104							
160							
55							
72							
117							
62							
100							
105							
62							
48							
71							
132							
74							
53							
233							
81							
118							
132							
126							
112							
61							
97							
186							
114							
76							
145							
98							
42							
52							
64							
110							
120							
87							
89							
94							
150							
125							
186							
62							
52							
163							
120							
126							
100							
54							
63							
123							
84							
34							
135							
108							
190							
107							
104							
68							
116							
101							
62							
95							
76							
100							
42							
86							
157							
149							
89							
85							
101							
82							
78							
102							
97							
114							
90							
98							
65							
27							
39							
126							
77							
99							
136							
276							
102							
138							
58							
130							
81							
89							
94							
77							
196							
46							
94							
47							
93							
116							
122							
106							
59							
57							
63							
135							
77							
46							
121							
75							
116							
107							
82							
106							
59							
123							
46							
42							
103							
73							
84							
108							
96							
131							
84							
121							
67							
118							
139							
116							
126							
103							
50							
128							
123							
73							
66							
106							
139							
37							
59							
102							
31							
184							
69							
54							
114							
139							
95							
84							
87							
130							
155							
148							
86							
138							
75							
84							
130							
99							
90							
78							
149							
59							
84							
131							
30							
28							
102							
134							
84							
74							
37							
49							
53							
16							
127							
130							
59							
67							
48							
104							
73							
124							
36							
57							
